TOTAL: 3543311
frames, misses, miss rate 
1013,572369,0.161535
1014,572190,0.161485
1015,572020,0.161437
1016,571827,0.161382
1017,571673,0.161339
1018,571492,0.161288
1019,571315,0.161238
1020,571127,0.161185
1021,570933,0.161130
1022,570748,0.161078
1023,570575,0.161029
1024,570382,0.160974
1025,570209,0.160925
1026,570044,0.160879
1027,569868,0.160829
1028,569690,0.160779
1029,569516,0.160730
1030,569331,0.160678
1031,569146,0.160625
1032,568958,0.160572
1033,568779,0.160522
1034,568603,0.160472
1035,568426,0.160422
1036,568255,0.160374
1037,568054,0.160317
1038,567856,0.160261
1039,567672,0.160209
1040,567482,0.160156
1041,567324,0.160111
1042,567141,0.160060
1043,566938,0.160002
1044,566744,0.159948
1045,566548,0.159892
1046,566354,0.159838
1047,566169,0.159785
1048,566001,0.159738
1049,565795,0.159680
1050,565599,0.159624
1051,565422,0.159574
1052,565258,0.159528
1053,565072,0.159476
1054,564900,0.159427
1055,564691,0.159368
1056,564507,0.159316
1057,564338,0.159269
1058,564159,0.159218
1059,563965,0.159163
1060,563764,0.159107
1061,563605,0.159062
1062,563415,0.159008
1063,563240,0.158959
1064,563074,0.158912
1065,562897,0.158862
1066,562714,0.158810
1067,562520,0.158755
1068,562335,0.158703
1069,562149,0.158651
1070,561958,0.158597
1071,561764,0.158542
1072,561601,0.158496
1073,561439,0.158450
1074,561245,0.158396
1075,561050,0.158341
1076,560897,0.158297
1077,560703,0.158243
1078,560515,0.158190
1079,560348,0.158142
1080,560187,0.158097
1081,560022,0.158050
1082,559878,0.158010
1083,559709,0.157962
1084,559542,0.157915
1085,559354,0.157862
1086,559165,0.157809
1087,558988,0.157759
1088,558828,0.157714
1089,558659,0.157666
1090,558480,0.157615
1091,558308,0.157567
1092,558138,0.157519
1093,557977,0.157473
1094,557796,0.157422
1095,557589,0.157364
1096,557429,0.157319
1097,557254,0.157269
1098,557043,0.157210
1099,556909,0.157172
1100,556730,0.157121
1101,556542,0.157068
1102,556373,0.157021
1103,556177,0.156965
1104,556017,0.156920
1105,555833,0.156868
1106,555685,0.156826
1107,555511,0.156777
1108,555322,0.156724
1109,555154,0.156677
1110,554989,0.156630
1111,554830,0.156585
1112,554642,0.156532
1113,554506,0.156494
1114,554323,0.156442
1115,554175,0.156400
1116,554006,0.156353
1117,553834,0.156304
1118,553647,0.156251
1119,553489,0.156207
1120,553324,0.156160
1121,553175,0.156118
1122,553022,0.156075
1123,552872,0.156033
1124,552697,0.155983
1125,552528,0.155936
1126,552353,0.155886
1127,552199,0.155843
1128,552023,0.155793
1129,551838,0.155741
1130,551663,0.155691
1131,551508,0.155648
1132,551325,0.155596
1133,551142,0.155544
1134,550975,0.155497
1135,550799,0.155448
1136,550642,0.155403
1137,550462,0.155352
1138,550276,0.155300
1139,550107,0.155252
1140,549930,0.155202
1141,549750,0.155151
1142,549569,0.155100
1143,549390,0.155050
1144,549209,0.154999
1145,548992,0.154938
1146,548801,0.154884
1147,548636,0.154837
1148,548455,0.154786
1149,548260,0.154731
1150,548088,0.154682
1151,547902,0.154630
1152,547748,0.154586
1153,547597,0.154544
1154,547440,0.154500
1155,547283,0.154455
1156,547139,0.154415
1157,546991,0.154373
1158,546837,0.154329
1159,546656,0.154278
1160,546500,0.154234
1161,546339,0.154189
1162,546187,0.154146
1163,546024,0.154100
1164,545869,0.154056
1165,545727,0.154016
1166,545568,0.153971
1167,545406,0.153926
1168,545255,0.153883
1169,545106,0.153841
1170,544935,0.153793
1171,544770,0.153746
1172,544621,0.153704
1173,544459,0.153658
1174,544295,0.153612
1175,544142,0.153569
1176,544003,0.153530
1177,543861,0.153489
1178,543688,0.153441
1179,543534,0.153397
1180,543390,0.153357
1181,543215,0.153307
1182,543081,0.153269
1183,542937,0.153229
1184,542780,0.153184
1185,542625,0.153141
1186,542454,0.153092
1187,542301,0.153049
1188,542156,0.153008
1189,541991,0.152962
1190,541852,0.152923
1191,541713,0.152883
1192,541562,0.152841
1193,541408,0.152797
1194,541245,0.152751
1195,541080,0.152705
1196,540928,0.152662
1197,540746,0.152610
1198,540582,0.152564
1199,540434,0.152522
1200,540296,0.152483
1201,540137,0.152438
1202,539983,0.152395
1203,539840,0.152355
1204,539684,0.152311
1205,539522,0.152265
1206,539368,0.152221
1207,539177,0.152168
1208,539013,0.152121
1209,538818,0.152066
1210,538630,0.152013
1211,538463,0.151966
1212,538280,0.151914
1213,538107,0.151866
1214,537936,0.151817
1215,537762,0.151768
1216,537576,0.151716
1217,537418,0.151671
1218,537277,0.151631
1219,537106,0.151583
1220,536944,0.151537
1221,536772,0.151489
1222,536609,0.151443
1223,536464,0.151402
1224,536285,0.151351
1225,536115,0.151303
1226,535974,0.151264
1227,535821,0.151220
1228,535666,0.151177
1229,535502,0.151130
1230,535341,0.151085
1231,535171,0.151037
1232,535011,0.150992
1233,534831,0.150941
1234,534674,0.150897
1235,534507,0.150850
1236,534361,0.150808
1237,534204,0.150764
1238,534029,0.150715
1239,533874,0.150671
1240,533726,0.150629
1241,533548,0.150579
1242,533397,0.150536
1243,533220,0.150486
1244,533053,0.150439
1245,532884,0.150392
1246,532733,0.150349
1247,532569,0.150303
1248,532416,0.150259
1249,532289,0.150224
1250,532154,0.150186
1251,531989,0.150139
1252,531834,0.150095
1253,531674,0.150050
1254,531516,0.150005
1255,531336,0.149955
1256,531167,0.149907
1257,531002,0.149860
1258,530838,0.149814
1259,530684,0.149771
1260,530524,0.149725
1261,530365,0.149681
1262,530210,0.149637
1263,530058,0.149594
1264,529928,0.149557
1265,529795,0.149520
1266,529632,0.149474
1267,529482,0.149431
1268,529331,0.149389
1269,529188,0.149348
1270,529038,0.149306
1271,528893,0.149265
1272,528716,0.149215
1273,528559,0.149171
1274,528410,0.149129
1275,528238,0.149080
1276,528096,0.149040
1277,527944,0.148997
1278,527769,0.148948
1279,527611,0.148903
1280,527448,0.148857
1281,527305,0.148817
1282,527168,0.148778
1283,527015,0.148735
1284,526867,0.148693
1285,526710,0.148649
1286,526584,0.148614
1287,526412,0.148565
1288,526241,0.148517
1289,526084,0.148472
1290,525933,0.148430
1291,525777,0.148386
1292,525636,0.148346
1293,525485,0.148303
1294,525324,0.148258
1295,525161,0.148212
1296,525012,0.148170
1297,524866,0.148129
1298,524738,0.148093
1299,524572,0.148046
1300,524422,0.148003
1301,524263,0.147959
1302,524118,0.147918
1303,523967,0.147875
1304,523817,0.147833
1305,523638,0.147782
1306,523463,0.147733
1307,523299,0.147686
1308,523143,0.147642
1309,522978,0.147596
1310,522800,0.147546
1311,522659,0.147506
1312,522492,0.147459
1313,522327,0.147412
1314,522162,0.147366
1315,522015,0.147324
1316,521848,0.147277
1317,521693,0.147233
1318,521548,0.147192
1319,521391,0.147148
1320,521243,0.147106
1321,521086,0.147062
1322,520941,0.147021
1323,520780,0.146976
1324,520612,0.146928
1325,520449,0.146882
1326,520311,0.146843
1327,520164,0.146802
1328,520001,0.146756
1329,519837,0.146709
1330,519674,0.146663
1331,519513,0.146618
1332,519349,0.146572
1333,519194,0.146528
1334,519036,0.146483
1335,518914,0.146449
1336,518766,0.146407
1337,518615,0.146365
1338,518459,0.146320
1339,518324,0.146282
1340,518181,0.146242
1341,518010,0.146194
1342,517868,0.146154
1343,517699,0.146106
1344,517565,0.146068
1345,517424,0.146028
1346,517281,0.145988
1347,517130,0.145945
